Aktie,Makro,Ticker,Korr@Lag0,Bester Lag,Max |Korr|,Korrelation,Richtung
DTE,EU Inflation HICP,CP0000EZ19M086NEST,0.926,12,0.936,0.936,positiv
DTE,Bitcoin,BTC-USD,0.907,0,0.907,0.907,positiv
DTE,CAC 40,^FCHI,0.872,0,0.872,0.872,positiv
DTE,FTSE 100,^FTSE,0.856,0,0.856,0.856,positiv
DTE,Euro Stoxx 50,^STOXX50E,0.852,0,0.852,0.852,positiv
DTE,Gold,GC=F,0.848,0,0.848,0.848,positiv
DTE,USD/JPY,JPY=X,0.822,0,0.822,0.822,positiv
DTE,USD-Index (DXY),DX=F,0.764,12,0.794,0.794,positiv
DTE,GBP/USD,GBPUSD=X,-0.65,12,0.697,-0.697,negativ
DTE,EUR/USD,EURUSD=X,-0.643,12,0.69,-0.69,negativ
DTE,USD/CHF,CHF=X,-0.601,0,0.601,-0.601,negativ
DTE,Silber,SI=F,0.572,0,0.572,0.572,positiv
DTE,Kupfer,HG=F,0.571,0,0.571,0.571,positiv
DTE,Palladium,PA=F,0.516,12,0.551,0.551,positiv
DTE,Platin,PL=F,-0.176,11,0.449,-0.449,negativ
DTE,Erdgas,NG=F,-0.365,12,0.417,-0.417,negativ
DTE,US 5J Rendite,^FVX,0.255,0,0.255,0.255,positiv
DTE,Brent Rohöl,BZ=F,-0.222,1,0.235,-0.235,negativ
DTE,US 30J Rendite,^TYX,0.0,12,0.181,-0.181,negativ
DTE,US 10J Rendite,^TNX,0.112,0,0.112,0.112,positiv
DTE,WTI Rohöl,CL=F,-0.098,1,0.108,-0.108,negativ
DTE,USD/CNY,CNY=X,-0.032,12,0.107,-0.107,negativ
DTE,VIX,^VIX,-0.102,2,0.104,-0.104,negativ
RGLD,Gold,GC=F,0.942,0,0.942,0.942,positiv
RGLD,NASDAQ 100,^NDX,0.921,4,0.922,0.922,positiv
RGLD,EU Inflation HICP,CP0000EZ19M086NEST,0.922,0,0.922,0.922,positiv
RGLD,DAX,^GDAXI,0.919,0,0.919,0.919,positiv
RGLD,S&P 500,^GSPC,0.919,0,0.919,0.919,positiv
RGLD,Dow Jones,^DJI,0.917,0,0.917,0.917,positiv
RGLD,US Inflation CPI,CPIAUCSL,0.912,0,0.912,0.912,positiv
RGLD,MSCI World ETF,URTH,0.898,0,0.898,0.898,positiv
RGLD,Bitcoin,BTC-USD,0.784,5,0.864,0.864,positiv
RGLD,FTSE 100,^FTSE,0.836,0,0.836,0.836,positiv
RGLD,GBP/USD,GBPUSD=X,-0.708,12,0.762,-0.762,negativ
RGLD,CAC 40,^FCHI,0.757,0,0.757,0.757,positiv
RGLD,Silber,SI=F,0.755,0,0.755,0.755,positiv
RGLD,USD/CHF,CHF=X,-0.722,0,0.722,-0.722,negativ
RGLD,Euro Stoxx 50,^STOXX50E,0.72,0,0.72,0.72,positiv
RGLD,USD-Index (DXY),DX=F,0.625,12,0.711,0.711,positiv
RGLD,Palladium,PA=F,0.68,0,0.68,0.68,positiv
RGLD,Kupfer,HG=F,0.667,0,0.667,0.667,positiv
RGLD,EUR/USD,EURUSD=X,-0.535,12,0.619,-0.619,negativ
RGLD,USD/JPY,JPY=X,0.6,0,0.6,0.6,positiv
RGLD,Erdgas,NG=F,-0.464,12,0.476,-0.476,negativ
RGLD,Platin,PL=F,0.013,12,0.356,-0.356,negativ
RGLD,US 30J Rendite,^TYX,-0.211,12,0.272,-0.272,negativ
RGLD,USD/CNY,CNY=X,-0.217,0,0.217,-0.217,negativ
RGLD,Brent Rohöl,BZ=F,-0.166,3,0.212,-0.212,negativ
RGLD,US 10J Rendite,^TNX,-0.13,12,0.142,-0.142,negativ
RGLD,WTI Rohöl,CL=F,-0.021,3,0.055,-0.055,negativ
RGLD,VIX,^VIX,0.007,11,0.032,0.032,positiv
RGLD,US 5J Rendite,^FVX,0.007,8,0.021,0.021,positiv
SIE,S&P 500,^GSPC,0.98,0,0.98,0.98,positiv
SIE,NASDAQ 100,^NDX,0.978,0,0.978,0.978,positiv
SIE,DAX,^GDAXI,0.977,0,0.977,0.977,positiv
SIE,MSCI World ETF,URTH,0.977,0,0.977,0.977,positiv
SIE,Dow Jones,^DJI,0.963,0,0.963,0.963,positiv
SIE,Bitcoin,BTC-USD,0.941,1,0.945,0.945,positiv
SIE,US Inflation CPI,CPIAUCSL,0.939,12,0.94,0.94,positiv
SIE,EU Inflation HICP,CP0000EZ19M086NEST,0.933,12,0.937,0.937,positiv
SIE,Gold,GC=F,0.893,0,0.893,0.893,positiv
SIE,CAC 40,^FCHI,0.889,0,0.889,0.889,positiv
SIE,FTSE 100,^FTSE,0.882,0,0.882,0.882,positiv
SIE,Euro Stoxx 50,^STOXX50E,0.88,0,0.88,0.88,positiv
SIE,USD-Index (DXY),DX=F,0.684,12,0.782,0.782,positiv
